id,family_id,member_its,full_name,mobile,relationship,gender
bcea1f43-f5fe-4512-8838-810d520c5d91,2b6fe539-4942-4eda-92f1-03972ba4ab04,10000001,Hussain Saifee,+919876500001,HOF,Male
de54b3c9-36c7-4e1d-b71e-67ac496b4bc7,2b6fe539-4942-4eda-92f1-03972ba4ab04,20000001,Fatema Saifee,+919876600001,Wife,Female
f11d8d19-2023-4f60-8aca-9ec52a1367c2,2b6fe539-4942-4eda-92f1-03972ba4ab04,30000001,Mohammed Saifee,,Son,Male
e9ad68fc-3b61-4ba4-baf2-cc498de7864a,4de6b075-4116-44c5-9423-b154fd32f68b,10000002,Hussain Najmi,+919876500002,HOF,Male
1ea11a9b-efa4-418d-a6ac-aa5aa51eeeb1,4de6b075-4116-44c5-9423-b154fd32f68b,20000002,Fatema Najmi,+919876600002,Wife,Female
77d47ba1-c6ef-4c0b-a25b-465dd2b53377,4de6b075-4116-44c5-9423-b154fd32f68b,30000002,Mohammed Najmi,,Son,Male
e691ccb1-b56f-40ee-8137-18b9eb1958ce,14d09f10-dff6-4b7a-b967-4777bdd39121,10000003,Hussain Hakim,+919876500003,HOF,Male
caa4da98-c76b-4f52-b0f9-09be5a69c4cc,14d09f10-dff6-4b7a-b967-4777bdd39121,20000003,Fatema Hakim,+919876600003,Wife,Female
91e549a6-5320-4c08-a3e7-dccd3194c7df,14d09f10-dff6-4b7a-b967-4777bdd39121,30000003,Mohammed Hakim,,Son,Male
494fbcaf-2a03-49b4-97d0-332e9ca7edc2,91c041e0-f256-4001-8565-bb6576bc035f,10000004,Hussain Lokhandwala,+919876500004,HOF,Male
29dd9f40-59ac-4db8-9d33-7dd3c1a9615e,91c041e0-f256-4001-8565-bb6576bc035f,20000004,Fatema Lokhandwala,+919876600004,Wife,Female
58b7ccc3-ce1e-47cd-a443-4b67372c3133,91c041e0-f256-4001-8565-bb6576bc035f,30000004,Mohammed Lokhandwala,,Son,Male
54666272-cf21-4e8f-9703-19f9f0a7d17c,529f6d51-5e3c-4914-9b86-303e037d276b,10000005,Hussain Kapadia,+919876500005,HOF,Male
7c063ba4-5818-4e10-8003-b7996020a486,529f6d51-5e3c-4914-9b86-303e037d276b,20000005,Fatema Kapadia,+919876600005,Wife,Female
d3ce821d-838a-404d-a11b-c9694e6d329c,529f6d51-5e3c-4914-9b86-303e037d276b,30000005,Mohammed Kapadia,,Son,Male
1f823f4a-8fed-455b-b900-4a9298bfdeee,8fc1e1b4-09d3-40f2-9e13-ce9850c9819a,10000006,Hussain Poonawala,+919876500006,HOF,Male
67fae183-1b0e-4304-92a1-0f0233e6d843,8fc1e1b4-09d3-40f2-9e13-ce9850c9819a,20000006,Fatema Poonawala,+919876600006,Wife,Female
ae793ece-21bc-454e-8fe1-ea305fed801f,8fc1e1b4-09d3-40f2-9e13-ce9850c9819a,30000006,Mohammed Poonawala,,Son,Male
782059ca-1789-4596-b81d-e396cfd51e5d,fc2f4414-5f0d-41e4-a0ce-57c1ee219a5f,10000007,Hussain Merchant,+919876500007,HOF,Male
66e4a57a-e35d-4c1d-8c75-6c5de5e5333b,fc2f4414-5f0d-41e4-a0ce-57c1ee219a5f,20000007,Fatema Merchant,+919876600007,Wife,Female
9279e7d5-fd82-4fa2-a7f9-d4e1445494a1,fc2f4414-5f0d-41e4-a0ce-57c1ee219a5f,30000007,Mohammed Merchant,,Son,Male
ac5bcfd4-c032-4680-93c3-09259c8fa21b,01dcd538-a502-41cd-be04-87a1ced88474,10000008,Hussain Ezzi,+919876500008,HOF,Male
afd8f01b-0f92-4d8f-81be-83e76c8c0f80,01dcd538-a502-41cd-be04-87a1ced88474,20000008,Fatema Ezzi,+919876600008,Wife,Female
64e6f020-7c71-43c0-98c2-a2499fbaaa68,01dcd538-a502-41cd-be04-87a1ced88474,30000008,Mohammed Ezzi,,Son,Male
1d78e394-9d71-4c35-a442-2cc144ae8621,cc0eeafe-6952-4198-87d8-09d2f714c487,10000009,Hussain Saifee,+919876500009,HOF,Male
059a4a61-8943-47ab-9c5b-4f17ce7579b8,cc0eeafe-6952-4198-87d8-09d2f714c487,20000009,Fatema Saifee,+919876600009,Wife,Female
1f32c340-e680-4612-8392-51d589d798a1,cc0eeafe-6952-4198-87d8-09d2f714c487,30000009,Mohammed Saifee,,Son,Male
7d302554-7e1e-4e06-822a-159084a3c2f5,f5570d4b-7ef6-4bf5-a89a-386f9f196ebd,10000010,Hussain Najmi,+919876500010,HOF,Male
4f4fb740-53fe-4413-a1c1-9a78e10cf6a9,f5570d4b-7ef6-4bf5-a89a-386f9f196ebd,20000010,Fatema Najmi,+919876600010,Wife,Female
c6d3edc3-a12f-4e43-b69b-f230a99c8fb5,f5570d4b-7ef6-4bf5-a89a-386f9f196ebd,30000010,Mohammed Najmi,,Son,Male
d1eac7b4-1089-436c-bd8b-d2d2590aa469,fbf35e2d-feda-45ca-9fa1-78319f414fcf,10000011,Hussain Hakim,+919876500011,HOF,Male
db2aa375-b599-4292-867a-c57115cb655c,fbf35e2d-feda-45ca-9fa1-78319f414fcf,20000011,Fatema Hakim,+919876600011,Wife,Female
e05254bd-a916-457b-9c00-dd916434aff8,fbf35e2d-feda-45ca-9fa1-78319f414fcf,30000011,Mohammed Hakim,,Son,Male
8ffd4d95-49a6-4a84-b361-333dc4457de9,480d2822-41e2-47dc-889e-f1f2c3bb5b4b,10000012,Hussain Lokhandwala,+919876500012,HOF,Male
2681d200-987b-4640-9a88-85b06332c63b,480d2822-41e2-47dc-889e-f1f2c3bb5b4b,20000012,Fatema Lokhandwala,+919876600012,Wife,Female
142e25fd-13bc-4f27-aa40-18803c506a7c,480d2822-41e2-47dc-889e-f1f2c3bb5b4b,30000012,Mohammed Lokhandwala,,Son,Male
b8e5e8e1-9941-44b2-8ef8-0fa101d09104,20ccdc45-a117-4546-b112-77ff0887a1f7,10000013,Hussain Kapadia,+919876500013,HOF,Male
